,_fivetran_id,date,property,_fivetran_synced,active_users,add_to_carts,checkouts,ecommerce_purchases,engaged_sessions,gross_purchase_revenue,new_users,sessions,total_purchasers,total_users
0,BG4Vy6ZsgDy6TbxRtEeV5RdYBQE=,2023-09-05,properties/368744614,2023-11-17 15:54:09.255000 UTC,752.8949265475721,24.917344899994312,11.242359625288408,0.0,430.59687290154335,0.0,468.48845893455274,725.9510027543979,0.0,607.6255315537223
1,2Evkf36cYUN56t+K/9/QMwG5W98=,2023-09-07,properties/368744614,2023-11-17 15:54:09.254000 UTC,580.6793674096693,25.440772987284788,12.796198606766934,0.8892071005830448,408.7039821554281,2825.8039404940378,464.68558703046773,786.3869074782045,0.933252561410916,603.4593897923502
2,1l2sxehqNdMYk/5NbruPqjmDBzI=,2023-07-20,properties/309559498,2023-11-17 15:54:22.982000 UTC,837.9712472413387,41.852815956215835,9.561143243871644,2.0088913800708,729.3867186221522,909.0493619230622,627.3313687266682,778.4455450193672,1.1124572682900875,794.137915705901
3,JusMWZmTFg2zCg0VSmROcXTbAN4=,2023-09-10,properties/309559498,2023-11-17 15:54:09.179000 UTC,685.4071406631722,78.02353228777433,14.027112045711323,1.634271954187817,567.8496459375953,671.6938236696537,556.0662394163518,628.6020729255996,0.8104615330861431,785.589967751799
4,9eJJkue7mdByTXMn4B+PyV2xAxI=,2023-10-15,properties/309559498,2023-11-17 15:54:01.256000 UTC,891.0426825189509,64.1176922370488,13.429464167105474,1.6707833504331424,790.8926813923584,351.83567828316586,517.7609248980332,921.7962428386431,0.9430161633128437,597.5913649485642
5,+KKoj0AA4zdjPQ6gTscuL9EUjQo=,2023-09-21,properties/374182661,2023-11-17 15:54:04.841000 UTC,1172.4378014248207,39.4118519422092,7.893786809560954,1.9900624649377554,533.9150496723131,282.8797822813434,616.3701472862776,1250.4190560507668,2.223328712253789,1373.2031721962624
6,c2ts20od69kxQ6RkIBO3dtNytgQ=,2023-08-19,properties/309559498,2023-11-17 15:54:16.069000 UTC,595.2188325322522,89.00184058624485,20.68058437905689,4.792301000118329,650.1775069335715,531.5936412037643,649.3938327673616,867.7487734908951,1.6456366191167957,720.4971632569863
7,3ZAKMz2ty/Gm8wGOaLxSG9SQHwk=,2023-09-02,properties/309559498,2023-11-17 15:54:09.276000 UTC,289.5871061092102,49.56410657137127,16.008200165586217,4.473479834434199,450.8749441720729,938.9967764343143,308.70429582879535,470.6326528310666,1.7022123883670337,320.9539080912043
8,vN0+MU0vPJDLSyLCW5Y6KX6M7uE=,2023-09-09,properties/309559498,2023-11-17 15:54:09.204000 UTC,419.9296437219038,78.72450349614074,6.300902756985314,3.422732223125789,543.4021098546554,646.8921736016225,462.5276181189127,572.5723652555791,2.117516077777456,458.77840792323866
9,LZuvoZmYxd0EMo8IbTSzW6WN+vs=,2023-09-16,properties/309559498,2023-11-17 15:54:09.189000 UTC,590.7766716390388,44.176390958762305,17.900892879643838,4.563282682324125,560.184195303377,510.43507433118305,462.57322929016306,555.7341086170371,1.8519693995032733,669.1844136418646
10,33J2uu9EiOduFTI/+Xgwt7RsRoI=,2023-09-25,properties/309559498,2023-11-17 15:54:01.246000 UTC,683.0519082413164,72.25619208439713,15.866584933718327,3.4076022732699056,643.8696893759885,637.092939025444,708.904407156359,921.532669830474,2.3926449206953233,682.9730644901565
11,27cIZmNhzr7tMBW6hcpXHlExKq8=,2023-09-19,properties/374182661,2023-11-17 15:54:04.840000 UTC,1167.7928397980131,32.28949240336841,10.305965647499512,3.4392795164411645,655.177716261119,461.19592264039676,1034.448509580304,1694.527373565759,3.568905866709487,1093.0103502418558
12,H/A1SSZTT3LbO8vcaxz7yHXOsmo=,2023-07-16,properties/309559498,2023-11-17 15:54:21.350000 UTC,400.91843130900276,75.16457016210359,8.99847474500508,4.964288706968251,467.30429829314113,1227.0390477677054,494.95144656288727,575.6660702151215,3.4616918752644317,554.0946546231601
